"vacancy_id","search_text","name","employer_name","area_name","published_date","experience_name","schedule_name","salary_avg","salary_currency"
"130973510","data analyst","Персональный ассистент руководителя","TWIGA Communication Group","Москва","2026-03-04","От 1 года до 3 лет","Полный день",NULL,NULL
"131039993","data analyst","Middle+ / Senior Java-разработчик","RedLab","Москва","2026-03-06","Более 6 лет","Удаленная работа","180000.000000000000","RUR"
"130621779","data analyst","Senior Backend Engineer / Старший бэкэнд разработчик","Podscribe","Москва","2026-02-19","Более 6 лет","Удаленная работа","9500.0000000000000000","USD"
"131115321","data analyst","Финансовый аналитик (контроллинг и казначейство)","MAXIMUM","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131126590","data analyst","System analyst / Системный аналитик","Aston","Москва","2026-03-11","От 3 до 6 лет","Удаленная работа",NULL,NULL
"131010191","data analyst","Data Analyst","РостДжоб","Москва","2026-03-05","От 1 года до 3 лет","Полный день","160000.000000000000","RUR"
"131036410","data analyst","BI / Data Analyst","Lenkep recruitment","Москва","2026-03-06","От 1 года до 3 лет","Удаленная работа","3000","USD"
"131138694","data analyst","Аналитик данных / Бизнес-аналитик","МАГНИТ, Розничная сеть","Москва","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131080342","data analyst","Data Analyst / Аналитик данных (в команду экономических исследований и работы с данными)","Freedom Holding Operations","Алматы","2026-03-10","От 3 до 6 лет","Полный день",NULL,NULL
"130539089","data analyst","Head of Recruitment / Руководитель группы подбора","Realweb","Москва","2026-02-17","От 3 до 6 лет","Полный день",NULL,NULL
"131101230","data analyst","Senior Data Analyst","Oljobaeva Aidana","Бишкек","2026-03-10","Более 6 лет","Удаленная работа","4000.0000000000000000","USD"
"130806338","data analyst","PHP Developer (fintech)","HR SKILLS PRO","Алматы","2026-02-26","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130281564","data analyst","Продакт-менеджер","Кофемания","Москва","2026-03-04","От 1 года до 3 лет","Полный день","160000.000000000000","RUR"
"130518465","data analyst","Аналитик данных","Айтиспортс","Москва","2026-02-17","Нет опыта","Полный день","85000.000000000000","RUR"
"131004326","data analyst","BI-Аналитик","БиАй Продакшн","Москва","2026-03-05","От 3 до 6 лет","Удаленная работа","170000.000000000000","RUR"
"131022419","data analyst","Data Analyst","Онлайн-школа Тетрика","Москва","2026-03-06","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130668675","data analyst","Аналитик данных (Support)","Aviasales.ru","Москва","2026-03-10","От 1 года до 3 лет","Удаленная работа",NULL,NULL
"131120541","data analyst","Business Analyst","КейДев","Минск","2026-03-11","От 3 до 6 лет","Полный день",NULL,NULL
"131145673","data analyst","Android разработчик (Senior)","ГК Орбита","Москва","2026-03-12","Более 6 лет","Удаленная работа",NULL,NULL
"131010495","data analyst","Бизнес-аналитики / BI-аналитик","White Rabbit Family","Москва","2026-03-05","От 1 года до 3 лет","Полный день","150000","RUR"
"131081718","data analyst","Финансовый аналитик","UZCARD (АО ЕОПЦ)","Ташкент","2026-03-10","От 3 до 6 лет","Полный день",NULL,NULL
"131035908","data analyst","Аналитик данных","Arbuz Group (Арбуз Груп)","Алматы","2026-03-06","От 3 до 6 лет","Полный день",NULL,NULL
"131090600","data analyst","Старший BI-аналитик","CSC Pharma","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"131131228","data analyst","Junior Data Analyst (Web / Mobile Analytics), AI Adult Project","Михайлов Андрей Павлович","Москва","2026-03-11","От 1 года до 3 лет","Удаленная работа","80000","RUR"
